lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
44,0,75.0,2,17,3,3,0,0,0,1
72,1,58.91,12,23,3,9,2,0,0,1
28,1,163.0,9,28,4,2,0,0,3,1
168,1,81.2,4,21,3,3,2,0,0,1
140,0,94.5,7,17,4,0,2,3,0,0
245,0,75.0,6,17,4,2,0,0,0,0
184,0,94.5,8,13,4,1,1,3,0,0
107,1,76.5,8,21,4,2,1,0,0,0
189,1,99.45,8,6,4,5,2,0,0,0
4,0,65.0,10,18,2,1,2,0,0,1
6,2,80.0,8,23,4,3,2,0,0,1
0,1,0.0,3,30,1,1,0,1,5,1
1,0,211.0,3,23,4,3,0,0,5,0
3,0,65.0,10,18,2,0,2,0,0,1
0,0,62.0,10,30,3,5,2,0,0,1
304,0,89.0,11,3,3,3,0,0,0,0
188,0,130.0,6,15,3,2,0,0,0,0
377,1,115.0,10,14,3,2,0,1,0,0
3,2,133.0,9,21,4,2,1,3,0,1
0,1,133.5,9,7,4,1,1,0,0,1
39,2,177.3,4,11,4,1,1,0,5,1
39,1,57.28,2,10,4,3,0,0,0,1
168,0,85.0,4,22,3,2,1,0,0,0
24,0,85.5,9,26,3,0,1,0,0,1
26,0,163.67,6,8,4,3,0,0,3,0
74,0,109.0,9,18,3,2,0,1,0,1
150,1,126.9,9,16,4,2,1,0,0,1
105,0,75.0,4,6,3,1,0,0,0,0
87,0,134.1,8,14,4,2,2,0,0,0
80,0,108.0,10,9,3,2,0,1,3,1
141,1,163.8,9,23,4,2,0,0,3,1
44,0,98.8,12,2,4,2,0,0,0,0
137,1,65.45,11,16,4,4,2,0,0,1
60,0,130.9,12,23,4,2,2,0,3,0
68,0,159.3,8,29,4,3,1,0,3,0
1,1,66.0,2,23,2,2,0,0,0,1
21,2,162.67,11,11,4,2,1,1,3,1
28,1,89.0,1,16,4,1,0,0,0,1
10,1,92.0,2,12,4,2,1,0,0,1
122,1,139.95,8,3,4,4,0,0,3,0
27,0,99.2,9,23,3,1,0,0,0,1
45,2,96.3,10,30,4,2,0,0,0,1
122,0,85.0,4,15,3,2,0,0,0,1
139,1,77.03,7,25,4,2,1,0,0,1
275,2,82.45,12,28,4,4,0,0,0,1
1,0,89.0,3,30,2,1,0,0,0,1
87,1,112.01,5,29,4,2,2,0,1,1
2,1,104.0,4,11,4,1,1,3,0,1
7,0,94.0,8,8,2,0,1,0,3,1
65,0,118.8,4,16,4,1,0,0,3,0
1,0,96.0,8,29,4,1,2,0,0,1
5,0,65.0,11,8,2,0,1,0,0,1
45,0,76.3,2,29,4,2,1,0,0,1
0,0,65.0,12,29,3,3,1,0,0,1
162,1,62.0,3,8,3,5,0,0,3,1
3,1,67.0,6,20,2,1,1,0,0,1
433,0,70.0,9,8,3,3,0,0,0,0
1,0,92.0,4,6,3,1,0,1,3,1
27,0,108.0,9,30,3,2,0,0,0,1
8,1,119.0,9,2,4,1,0,3,0,1
26,1,117.0,4,21,4,1,0,0,0,1
9,2,90.0,8,23,4,3,2,0,0,1
1,0,79.0,11,14,2,1,0,0,0,1
0,1,115.0,5,23,3,0,1,0,0,1
142,1,79.2,12,22,4,2,0,3,0,1
65,0,132.3,6,21,4,1,0,0,3,0
111,0,120.0,10,10,3,0,1,0,4,0
6,0,70.0,3,1,3,5,2,0,0,1
29,0,77.6,1,30,4,1,2,0,3,0
0,0,138.0,8,12,4,1,0,0,0,0
170,0,105.3,8,1,4,2,1,0,0,0
35,0,139.5,10,3,4,3,1,0,3,0
273,0,109.0,7,17,4,2,0,1,0,0
8,0,80.27,12,4,4,2,1,0,0,1
31,2,103.5,10,11,4,2,2,0,0,1
69,1,110.08,4,18,4,3,1,0,3,1
67,1,103.14,12,27,4,3,2,0,0,1
11,0,115.0,4,15,4,2,0,3,0,1
13,0,96.0,4,26,3,3,0,1,0,1
52,0,67.5,2,25,4,3,0,3,0,0
2,0,66.0,1,14,2,1,0,0,0,1
288,0,55.63,10,17,4,3,2,0,0,0
7,1,96.0,3,7,4,1,1,0,0,1
77,1,126.9,5,8,4,2,2,0,0,1
28,1,51.6,11,17,3,3,0,0,0,1
18,2,69.0,12,1,4,2,0,0,0,1
11,0,80.41,12,25,4,2,1,0,1,1
11,0,90.0,6,14,2,3,0,0,3,0
16,2,111.75,10,1,4,3,1,0,0,1
19,1,100.0,2,21,4,0,2,0,0,0
141,1,118.8,9,19,4,5,2,3,0,0
40,1,55.0,12,26,3,2,2,0,0,1
116,2,129.6,9,15,4,3,0,0,0,1
90,2,144.13,7,7,3,5,2,0,3,1
15,1,68.99,1,24,4,1,2,0,0,1
182,2,96.3,7,28,4,1,0,0,0,0
20,0,146.2,9,24,4,2,2,0,0,0
44,0,121.61,4,30,4,2,2,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
45,0,88.2,3,22,4,2,0,3,0,0
185,0,61.0,8,28,4,4,2,3,0,0
35,2,156.24,9,25,4,3,2,0,3,1
18,1,93.0,2,19,4,2,0,0,0,1
14,1,147.9,2,21,4,2,2,0,5,1
86,1,82.45,3,31,4,3,1,0,0,1
193,0,120.0,6,20,4,2,1,0,0,0
27,0,142.78,4,11,4,3,1,1,0,0
118,0,110.0,6,6,3,1,1,0,0,1
210,0,72.75,10,8,3,3,1,0,0,1
210,1,67.42,8,15,4,5,2,0,0,1
111,2,88.4,12,24,4,2,2,0,0,1
113,0,132.6,5,25,4,4,0,0,3,0
66,0,89.1,4,2,4,1,2,0,0,0
30,1,135.9,9,15,4,2,0,0,0,0
167,0,119.85,9,3,4,10,4,0,0,0
244,0,85.85,10,30,4,3,2,0,0,0
91,0,80.0,4,4,3,2,1,0,0,0
179,2,108.9,10,1,4,1,2,0,0,0
0,0,76.0,1,21,2,1,0,0,0,1
198,1,136.5,7,30,3,2,2,0,5,0
133,0,121.5,7,28,4,2,0,0,0,1
46,1,59.56,3,12,4,2,2,0,0,1
148,0,105.3,5,5,4,3,0,0,0,1
273,0,95.0,5,13,3,2,1,0,0,0
61,0,89.5,3,4,4,2,0,3,0,1
0,1,126.0,10,5,4,0,1,0,0,1
84,2,80.75,10,21,3,2,1,0,0,1
433,0,70.0,9,8,4,3,0,0,0,0
67,1,90.95,4,22,3,2,0,0,3,1
69,0,123.98,9,1,4,6,2,3,0,0
20,0,107.0,10,4,4,4,2,0,0,1
25,2,103.95,4,12,4,2,0,3,0,1
118,0,95.7,4,16,4,1,2,0,3,0
74,0,75.0,12,9,3,2,0,0,0,1
115,0,76.0,2,27,3,2,2,0,0,1
4,2,97.1,2,9,4,3,0,0,3,1
123,0,108.3,4,29,4,2,1,0,0,0
8,1,171.0,8,8,4,0,1,0,0,1
53,1,96.3,2,28,4,0,2,0,3,0
4,0,75.0,8,11,2,2,0,0,0,1
53,1,108.0,10,17,4,1,1,3,0,1
303,0,78.0,8,19,3,3,2,0,0,0
22,1,240.0,7,21,4,2,0,0,5,1
78,2,86.4,11,23,4,1,0,0,0,1
29,0,103.55,6,8,4,2,0,3,0,1
1,0,106.0,2,26,4,1,0,0,3,1
126,0,89.25,5,15,4,2,2,3,0,0
5,0,110.0,9,12,0,1,1,0,3,1
51,2,187.11,9,16,4,2,2,0,5,1
279,0,110.0,10,12,3,3,0,0,0,0
198,3,159.3,9,22,4,3,0,0,3,1
168,1,171.9,11,7,4,3,1,0,0,0
195,0,109.23,9,3,4,6,2,0,0,0
64,1,94.5,4,13,4,2,0,3,0,1
13,1,139.0,8,11,4,1,0,3,0,1
66,1,99.2,10,25,4,4,0,0,3,1
81,0,103.5,7,3,4,3,2,3,0,1
181,1,112.2,8,4,4,5,2,0,3,0
164,0,100.0,10,2,3,2,0,0,0,0
117,0,71.4,11,6,2,2,2,0,0,1
41,1,98.55,3,28,3,4,1,0,0,1
106,2,135.9,9,20,4,5,1,0,0,0
9,1,87.0,2,14,3,2,2,0,0,1
168,2,126.41,7,17,4,5,2,0,3,0
0,0,115.0,8,10,4,3,1,3,0,1
2,0,95.0,5,4,0,1,0,0,0,1
26,1,123.5,4,11,4,3,1,0,3,1
20,1,231.0,8,6,4,1,0,0,5,1
1,0,102.6,9,30,3,2,0,0,0,1
234,1,76.84,12,12,4,4,1,0,0,1
1,0,111.0,7,20,4,1,0,0,0,1
4,0,81.0,2,19,2,1,0,0,0,1
11,1,148.0,12,29,4,3,0,0,3,1
118,0,116.1,6,2,4,3,0,3,0,0
28,2,121.33,4,11,4,2,1,0,3,1
188,0,130.0,6,15,4,2,0,0,0,0
0,0,65.0,3,15,2,2,0,0,0,1
12,1,101.68,6,30,4,1,0,3,0,1
135,0,90.0,9,14,3,2,1,0,0,1
14,0,112.0,2,4,2,3,0,0,6,1
149,0,122.04,7,5,4,5,2,0,0,1
3,0,139.0,8,6,4,1,0,3,0,0
61,1,90.95,6,12,3,1,2,0,3,1
107,1,156.6,12,3,4,1,2,0,5,0
59,1,120.96,9,2,4,3,2,0,3,0
49,1,94.5,9,18,4,2,1,0,0,0
3,0,65.0,9,18,2,2,2,0,0,1
52,1,79.2,11,25,4,2,1,3,0,0
54,2,85.5,9,15,4,1,0,0,0,1
282,0,76.67,10,10,3,1,2,0,0,1
75,0,75.0,12,3,3,1,1,0,0,1
113,2,76.5,8,22,4,1,0,0,0,0
219,0,108.0,9,4,3,1,0,1,0,0
4,0,64.0,1,25,2,0,1,0,0,1
3,0,120.0,9,19,2,1,2,0,0,1
9,1,85.0,10,2,3,1,2,0,0,1
26,0,171.0,2,10,4,4,2,0,5,0
25,1,107.03,9,22,4,3,0,0,3,1
101,2,65.83,4,16,4,1,0,3,0,1
35,1,112.5,3,21,4,2,1,0,3,1
94,0,105.3,4,14,4,3,0,0,3,0
32,0,121.5,4,11,4,0,1,0,0,0
69,0,120.0,6,12,4,4,2,0,0,0
211,0,100.0,5,20,3,2,0,0,0,0
17,1,97.0,3,11,4,2,0,3,0,0
82,1,121.55,4,16,4,2,2,0,3,0
79,1,149.1,4,28,4,3,0,0,3,1
184,1,103.5,8,13,4,1,0,3,0,0
1,0,88.0,3,30,2,1,0,0,0,1
148,0,96.3,8,22,4,4,1,0,0,0
11,2,205.0,11,7,4,2,1,0,0,1
18,0,97.0,3,18,4,2,1,3,0,0
18,2,157.0,12,30,4,2,0,0,3,1
142,0,101.15,9,4,3,1,2,0,4,1
273,0,63.75,11,22,4,5,0,3,0,0
13,3,190.93,9,28,4,2,0,1,0,1
151,0,71.0,1,19,3,3,0,0,0,1
21,0,79.0,2,12,4,2,0,3,0,1
70,0,89.25,4,14,4,3,1,3,0,0
22,0,129.0,6,22,4,1,0,3,0,0
1,0,81.0,8,8,4,2,2,3,0,1
4,1,112.0,5,21,3,1,1,1,0,1
14,1,124.0,8,31,4,1,0,0,0,1
12,2,68.0,12,3,3,3,2,0,0,1
141,1,94.5,7,14,4,3,0,3,0,1
4,0,87.0,2,7,3,0,2,0,0,1
87,0,74.15,4,14,4,1,0,0,0,0
17,0,82.0,3,14,3,4,1,1,3,1
48,0,80.1,3,28,4,0,1,3,0,1
230,1,109.65,9,18,4,2,2,0,0,0
2,3,123.5,8,28,4,2,0,0,0,1
20,2,215.0,3,28,4,4,1,0,5,1
2,0,116.0,4,13,4,1,0,0,3,1
175,0,104.1,9,30,4,2,1,3,0,0
48,0,130.0,9,14,3,2,0,0,0,1
23,2,115.9,12,30,4,4,2,0,3,1
109,0,75.0,5,30,3,2,1,0,0,1
338,0,87.3,12,15,4,3,0,0,3,0
55,2,73.8,11,10,4,1,0,0,0,1
87,1,111.6,4,30,4,1,1,3,0,0
25,1,81.0,12,12,2,1,0,0,0,1
13,1,99.0,9,11,4,0,2,3,0,1
148,0,105.3,4,28,4,1,0,0,0,1
121,0,90.0,6,24,3,2,1,0,0,0
68,0,48.0,9,29,3,2,0,0,0,1
46,1,98.1,9,7,4,1,0,0,0,1
26,1,119.0,10,16,4,3,2,3,0,0
121,1,96.9,7,6,3,4,0,0,0,1
7,0,125.8,12,29,4,3,1,0,3,1
65,0,72.25,10,8,3,3,0,0,0,1
98,0,91.4,12,26,4,3,1,0,0,0
32,1,88.0,12,10,4,1,2,3,0,1
74,0,97.92,9,24,3,1,0,0,0,1
4,0,95.0,6,24,3,2,0,0,0,1
178,0,103.69,8,31,4,2,0,0,1,0
193,0,120.0,6,20,3,2,1,0,0,0
38,0,135.9,5,7,4,1,1,0,0,0
30,1,122.85,8,29,4,1,1,0,0,1
140,0,70.0,12,29,3,5,0,0,0,1
10,1,120.0,10,5,4,1,1,0,0,1
5,2,183.67,3,24,4,3,0,0,3,1
36,0,86.5,3,1,2,1,0,0,0,1
69,0,120.0,6,12,3,4,2,0,0,0
6,0,88.0,4,11,3,1,1,0,0,1
33,1,83.9,3,2,4,4,0,0,0,0
79,1,156.6,12,27,4,1,0,0,5,1
13,0,89.0,6,14,4,1,0,3,0,1
6,1,139.0,6,30,4,1,0,3,0,1
64,0,101.52,9,28,3,3,0,0,0,1
56,0,120.0,6,8,3,1,0,0,0,1
16,0,146.0,4,9,4,1,0,0,3,1
270,0,80.0,4,20,3,4,0,0,0,1
1,2,158.0,8,9,4,1,0,3,0,1
5,2,161.0,11,25,4,1,0,0,3,1
56,1,82.44,12,7,4,3,0,0,1,1
68,0,90.95,4,5,4,4,0,0,0,0
191,0,71.1,11,25,4,1,0,3,0,0
73,1,89.25,10,26,4,3,1,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
6,1,104.25,12,13,4,0,1,0,1,1
110,0,153.4,8,22,4,1,1,0,0,1
13,0,65.0,11,15,2,0,1,0,0,1
30,0,195.53,9,24,4,2,2,0,5,0
192,0,95.0,6,24,3,2,0,0,0,0
146,0,95.0,4,24,3,0,2,0,0,0
141,1,85.5,8,5,4,2,0,0,0,1
118,1,90.0,11,3,4,3,0,0,0,1
28,0,95.0,5,19,2,2,0,0,0,0
32,1,109.0,10,25,4,4,0,3,0,1
7,0,97.0,5,16,4,0,1,0,0,0
96,2,189.0,7,12,4,4,0,1,3,1
292,0,90.0,7,21,3,2,0,1,0,1
346,1,115.0,9,13,3,2,0,1,0,0
5,0,90.0,10,19,3,2,1,0,0,1
7,1,72.25,12,4,4,2,0,3,0,1
2,1,78.2,11,6,3,5,2,0,3,1
71,0,107.1,6,26,4,3,2,0,0,0
162,0,115.0,10,14,4,2,2,0,0,0
75,0,105.0,10,30,3,0,2,1,0,0
45,0,108.79,4,24,4,3,2,0,0,1
37,1,132.84,9,29,4,2,0,0,3,0
177,0,100.0,6,3,4,2,0,0,0,0
1,0,60.0,2,28,3,1,2,0,0,0
3,0,90.67,6,10,3,2,1,0,0,1
39,0,87.0,8,14,3,2,0,1,0,1
47,2,101.15,3,28,4,3,1,0,0,1
103,0,72.25,7,18,3,3,1,0,0,0
28,0,130.0,10,29,3,1,0,0,0,1
9,0,154.33,8,12,4,2,1,0,0,1
8,1,67.5,11,26,4,3,0,0,0,1
39,0,109.0,8,14,3,2,0,1,0,1
32,0,73.0,11,20,3,2,0,0,0,1
55,0,79.0,7,7,2,1,0,0,0,1
8,1,89.25,5,25,4,1,0,0,0,1
268,0,78.0,4,8,4,3,2,0,0,0
34,1,80.75,6,19,3,3,2,0,0,1
113,0,89.4,10,24,4,2,1,3,0,0
323,1,112.0,5,17,3,4,0,1,0,0
97,0,102.0,9,17,4,3,0,0,3,0
47,1,70.12,6,19,4,2,2,3,0,1
197,1,86.9,8,11,4,1,0,0,3,0
97,0,173.7,11,16,4,2,0,1,3,0
65,1,75.54,10,27,4,1,0,0,0,1
151,0,63.75,8,5,3,2,1,3,0,1
59,0,74.83,3,31,3,3,0,0,0,1
203,0,112.5,12,8,4,3,0,1,0,1
33,0,83.9,3,5,4,1,1,0,0,1
91,0,60.0,12,28,3,2,1,0,3,1
1,0,85.0,9,29,2,2,0,0,0,1
40,0,185.28,12,30,4,2,2,0,3,0
64,0,112.2,4,15,4,3,2,0,3,1
124,0,96.3,4,29,4,2,0,0,0,0
200,3,76.5,8,22,4,1,0,0,0,1
37,1,74.8,12,2,4,2,2,3,0,1
54,0,177.3,4,16,4,1,2,0,5,0
47,1,105.5,11,5,4,2,0,0,1,1
1,1,135.0,6,22,4,1,0,0,0,1
0,1,123.0,10,22,4,1,0,3,0,1
267,0,95.0,9,30,3,2,1,0,0,0
36,1,82.7,2,22,4,2,1,0,0,1
71,2,77.0,11,12,4,4,2,3,0,1
213,0,130.0,6,7,4,3,0,0,0,0
164,0,100.0,10,2,3,2,0,0,0,1
2,0,67.0,12,16,2,1,0,0,0,1
21,1,140.0,8,30,4,1,0,0,0,1
225,0,67.5,11,25,4,1,0,3,0,0
65,0,94.5,3,18,4,2,0,3,0,0
102,0,101.5,10,16,3,2,0,1,0,0
31,1,148.69,9,26,4,3,1,0,5,1
88,1,136.06,11,7,4,3,1,0,0,0
130,2,139.5,9,29,4,3,0,0,3,0
80,1,135.27,8,3,4,3,0,0,3,1
176,1,90.0,3,20,4,4,2,0,0,1
3,1,155.0,5,28,4,1,0,0,0,1
259,0,89.0,10,5,4,4,0,0,0,0
212,0,126.9,10,31,4,4,1,0,3,0
0,0,50.0,2,11,2,1,0,0,0,1
227,0,106.0,10,10,2,2,1,0,4,0
13,1,79.0,2,13,4,1,0,3,0,1
17,0,105.0,9,1,4,3,0,0,0,1
151,0,80.0,1,19,3,3,0,0,0,1
3,1,60.83,2,13,4,1,0,3,0,1
0,0,103.2,5,18,3,1,0,3,0,1
82,0,80.75,5,17,3,2,0,0,0,1
199,0,77.89,12,28,4,4,2,0,3,0
73,0,67.83,11,24,3,3,0,0,0,1
118,1,114.3,8,11,4,1,0,0,0,1
61,1,75.0,11,23,3,3,0,0,0,1
7,0,87.0,2,28,3,2,2,0,0,1
153,1,72.25,10,16,3,2,2,3,0,1
105,0,75.0,10,12,3,3,0,0,0,0
180,0,108.9,10,1,4,1,2,0,0,0
80,1,96.3,6,23,4,1,0,0,0,1
29,1,102.8,4,16,4,3,2,0,0,1
37,0,70.0,12,14,3,2,1,0,0,1
4,2,198.0,8,24,4,1,0,0,3,1
252,2,148.58,12,28,4,9,2,0,1,0
71,1,96.9,8,9,3,3,0,0,0,1
2,0,55.0,3,2,3,1,0,0,0,1
4,1,75.08,12,7,4,2,0,0,0,1
145,0,153.0,10,22,4,1,1,1,0,0
68,0,118.8,4,10,4,0,2,0,3,0
117,0,126.9,6,3,4,2,1,0,0,1
64,1,64.37,11,21,4,2,1,3,0,1
47,1,78.3,2,7,4,0,2,0,0,0
1,2,89.0,4,16,4,1,2,3,0,1
182,1,96.94,3,28,4,5,2,0,0,0
2,1,81.75,5,15,3,2,2,0,0,1
161,1,87.13,7,16,4,2,2,3,0,1
18,1,169.0,6,30,4,3,0,0,0,1
317,0,120.0,9,15,3,2,0,0,0,0
271,0,85.67,9,21,3,3,0,0,0,1
223,2,89.25,10,4,4,0,2,0,0,1
10,1,99.2,12,2,4,2,1,0,0,1
146,0,100.3,6,1,4,4,0,0,0,0
231,0,90.95,8,28,4,2,2,0,0,0
57,1,90.67,6,10,3,2,1,0,0,1
258,0,110.0,10,16,3,0,1,0,0,0
68,0,121.5,7,24,4,1,2,0,0,0
85,0,105.3,7,18,4,0,1,0,0,1
15,1,116.31,10,4,4,2,0,0,0,1
224,0,80.75,8,21,4,2,2,3,0,0
33,1,64.46,3,5,4,6,4,0,0,1
64,0,140.4,5,27,4,2,0,0,3,0
0,1,96.33,8,31,4,2,1,3,0,1
56,1,101.72,3,30,4,4,2,0,3,1
10,2,136.67,11,3,4,3,0,0,0,1
91,2,132.3,10,20,4,3,0,0,3,0
98,3,116.1,6,10,4,2,1,3,0,1
104,0,91.5,10,6,3,2,0,1,0,0
4,0,66.0,3,7,2,1,1,0,0,1
134,1,109.65,6,5,4,2,2,3,0,1
124,0,36.25,8,8,3,1,2,1,0,1
111,1,127.8,8,11,4,2,0,0,3,1
7,1,121.0,4,27,4,4,1,3,0,1
292,0,115.0,7,21,3,2,0,1,0,0
222,1,80.75,10,12,3,4,0,0,0,1
45,0,75.0,10,30,3,3,2,0,0,1
50,0,67.66,3,5,4,2,2,0,1,0
127,0,90.0,4,28,3,3,1,0,0,1
57,0,23.0,2,8,4,2,1,0,1,1
191,0,95.0,6,23,3,3,0,0,0,1
0,0,64.5,1,18,3,1,1,0,0,1
86,0,90.0,9,9,2,2,0,0,0,1
40,2,149.4,9,26,4,3,1,0,3,1
7,0,89.0,4,11,4,0,1,3,0,1
1,0,85.0,10,13,3,1,0,3,0,1
7,0,82.0,1,4,4,2,1,0,0,1
60,2,93.6,12,16,4,2,1,0,0,1
349,0,80.0,10,4,3,5,1,0,0,0
102,0,101.34,12,26,4,3,1,0,1,0
63,2,103.95,9,4,4,2,2,0,0,1
26,0,95.0,9,18,3,1,2,0,0,1
121,0,71.0,4,2,3,1,1,0,0,1
28,0,97.0,1,8,3,2,0,1,0,1
44,1,74.8,11,16,4,4,1,3,0,1
177,2,76.5,8,19,4,4,0,0,0,1
26,1,143.65,11,13,4,5,2,0,5,0
113,0,90.0,11,11,3,1,0,0,0,1
4,1,102.0,2,7,4,0,2,0,0,1
253,0,90.0,5,4,3,4,0,0,0,0
0,0,95.0,6,22,0,1,0,0,0,1
61,0,91.0,10,4,3,0,2,0,0,1
247,0,109.0,6,6,3,1,1,1,0,0
26,1,153.23,11,7,4,1,1,0,0,1
71,0,120.0,6,14,3,3,0,0,0,1
280,0,110.0,9,19,3,2,1,0,0,0
44,0,74.8,11,25,4,4,2,3,0,0
290,0,72.0,6,17,3,2,1,0,0,0
27,0,129.0,3,22,4,3,0,3,0,0
91,1,132.6,10,23,4,4,2,0,3,1
16,0,43.0,1,31,3,2,2,0,0,1
1,0,91.33,2,10,4,3,0,0,0,1
96,1,0.0,8,2,1,3,0,0,0,1
5,0,167.0,8,21,4,0,1,0,0,0
1,2,160.0,10,7,4,2,0,3,0,1
349,0,123.33,10,4,3,5,1,0,0,0
30,2,117.0,9,25,4,1,2,0,0,1
2,2,209.5,9,30,4,2,0,0,3,1
7,0,139.0,7,16,4,1,1,3,0,1
105,0,75.0,10,12,3,3,0,0,0,1
5,0,95.0,4,4,0,3,1,0,0,1
15,0,117.67,4,12,4,3,0,3,0,0
3,0,89.0,12,4,3,0,2,0,0,1
0,0,99.63,9,1,4,1,0,3,0,1
42,0,91.5,12,28,4,1,1,0,1,1
37,0,95.0,10,13,3,3,0,0,0,1
63,2,94.5,7,23,4,1,0,3,0,1
53,1,115.04,9,20,4,3,0,0,3,1
288,0,67.25,12,22,4,5,2,0,1,0
77,2,132.3,10,7,4,2,1,0,3,1
206,0,90.95,7,25,4,4,1,0,0,0
3,0,65.0,7,21,2,1,0,0,0,1
33,0,51.97,1,22,4,1,0,3,0,0
102,0,80.0,10,16,3,2,0,1,0,0
134,1,176.45,8,1,4,4,1,0,5,1
30,0,137.52,9,12,4,3,1,0,4,1
13,0,95.0,4,19,0,4,0,0,0,1
72,1,146.7,7,27,4,2,0,0,3,1
3,1,66.0,2,25,2,1,0,0,0,1
1,2,106.0,8,20,4,2,0,0,0,1
7,1,117.04,10,3,4,2,1,0,0,1
1,1,82.0,3,15,3,3,0,0,0,1
0,0,114.0,4,23,4,1,1,0,0,1
89,1,63.75,11,17,4,3,0,0,0,1
221,3,94.5,8,18,4,2,0,3,0,1
13,1,86.0,2,6,4,1,1,0,0,1
38,0,149.4,9,10,4,2,2,0,3,0
114,0,89.25,7,13,4,4,0,3,0,1
213,1,118.15,8,31,4,4,0,0,3,0
0,0,120.0,10,12,3,1,0,0,0,1
171,0,76.5,8,20,4,5,2,0,0,0
166,2,89.25,10,12,4,3,1,0,0,1
169,1,99.45,8,5,4,4,2,0,0,1
35,1,129.0,10,28,4,2,1,0,0,1
87,2,80.75,4,9,4,2,2,3,0,1
19,0,90.0,10,6,3,3,0,0,0,1
184,2,164.25,8,17,4,1,0,1,0,0
3,0,95.48,5,13,4,1,0,3,0,0
19,2,140.0,10,21,4,1,0,3,0,1
17,1,166.0,7,8,4,2,0,0,3,0
0,2,129.0,6,18,4,1,2,3,0,1
239,0,112.2,6,15,3,2,0,1,0,0
3,0,110.0,9,19,0,2,1,0,3,1
19,0,75.0,7,18,3,1,1,3,0,1
157,0,84.24,5,19,4,1,0,0,0,0
102,0,79.2,12,5,4,1,1,3,0,0
73,0,75.0,12,4,3,0,2,0,0,1
17,0,97.0,3,19,4,1,0,3,0,1
0,1,106.67,8,22,4,1,2,0,0,1
20,2,89.0,9,11,4,0,2,3,0,1
95,0,109.65,5,21,4,2,2,3,0,0
121,0,90.0,6,24,4,2,1,0,0,0
6,1,87.27,10,30,4,2,1,0,0,1
23,1,119.0,10,20,4,2,0,3,0,0
39,0,71.1,3,11,4,1,0,3,0,0
86,0,87.5,9,24,3,2,0,0,0,1
13,2,93.75,10,31,4,3,1,3,0,1
88,0,149.4,9,4,4,4,2,0,3,0
178,1,93.08,8,24,4,4,0,0,0,1
377,1,112.0,10,14,4,2,0,1,0,0
35,1,107.1,3,27,4,0,2,3,0,1
121,0,162.0,9,20,4,5,1,0,3,0
149,0,89.25,7,12,4,6,2,3,0,0
128,1,151.2,10,18,4,5,1,0,3,1
1,1,149.0,6,3,4,1,0,0,0,1
1,0,95.0,9,6,2,1,0,0,0,1
125,2,72.25,12,23,4,4,0,0,0,1
83,1,101.15,9,4,3,0,1,0,4,1
75,0,78.15,3,21,4,1,1,0,1,1
121,0,97.54,7,25,4,2,1,0,1,0
117,1,112.5,8,12,4,2,0,3,0,1
55,0,104.0,4,6,3,1,0,1,0,1
